V_COD_ESTA,V_COD_TIPO,V_COD_ANESTA,V_NOM_ESTA,V_COD_CUEN,V_COD_CATE,V_COD_PROV,V_COD_DEP,V_COD_DIST,V_COD_ENTI,V_COD_DRE,N_LON_GRAD,N_LON_MIN,N_LON_SEG,N_LON_SIG,N_LAT_GRAD,N_ALT_MTS,N_LAT_MIN,N_LAT_SEG,N_LAT_SIG,V_COD_COND,V_SUB_ESTA,V_CLAS_ESTA,V_COD_ZONA,V_COD_CUENCA,V_NOM_CUENCA,V_COD_POSTAL,N_MIN_HELADA,N_MAX_HELADA
4720C32A,O,4720C32A,CHIMBOTE,52,19,,,,IMP,,,,,-78.627500,,145,,,-9.073060,P,A,SUT,,,,,,
113185,M,RTU10017,CHINCHA,,17,,,,COGA,,,,,-76.186040,,167,,,-13.304280,F,A,DAV,,,,,,
4723D752,M1,4723D752,CHIVAY,44,17,,,,SEN,,,,,-71.601690,,"3,644",,,-15.641630,F,A,SUT,,,,,,
47200634,M2,47200634,LIMA ESTE,26,17,,,,SEN,,,,,-76.925780,,320,,,-12.077110,C,A,SUT,,,,,,
4727B78E,M,47239458,AYAVIRI,02,17,,,,SEN,,,,,-70.593140,,"3,928",,,-14.871830,P,A,SIA,,,,,,
212602,H,212602,SURASACA SALIDA,23,06,,,,SEN,,,,,-76.787450,,"4,379",,,-10.522590,C,C,CON,,,,,,
4720E5C6,O,4720E5C6,SAN JUAN DE MARCONA,52,19,,,,IMP,,,,,-75.156110,,0,,,-15.343610,P,A,SUT,,,,,,
472285D4,H,,SAYAN,23,18,,,,SEN,,,,,-77.200280,,756,,,-11.133610,C,A,SUT,,,,,,
472466E8,M1,472466E8,QUILLABAMBA,03,21,,,,SEN,,,,,-72.691940,,"1,599",,,-12.691940,C,A,SUT,,,,,,
4720B5BA,O,4720B5BA,MALABRIGO (SALAVERRY),52,19,,,,IMP,,,,,-79.438060,,0,,,-7.691110,P,A,SUT,,,,,,
472063D2,M2,472063D2,TROMPETEROS,01,17,,,,SEN,,,,,-75.150280,,141,,,-3.800280,P,A,SUT,,,,,,
204707,H,204708,PUENTE DEL DIABLO,45,05,,,,SEN,,,,,-71.675030,,"1,983",,,-16.426790,F,C,CON,,,,,,
230904,H,230906,PUENTE CHULEC,08,05,,,,SEN,,,,,-75.933610,,"4,002",,,-11.516940,C,C,CON,,,,,,
200403,H,200404,PUENTE PALTASHACO,05,06,,,,SEN,,,,,-79.900280,,564,,,-5.116940,C,C,CON,,,,,,
220401,H,220401,PUENTE CHUNCHUCA,10,05,,,,SEN,,,,,-78.864170,,"1,034",,,-5.948890,C,C,CON,,,,,,
200405,H,200406,PUENTE nACAR,05,06,,,,SEN,,,,,-80.166940,,82,,,-5.100280,C,C,CON,,,,,,
221811,H,221813,PUENTE HIGUERAS,07,06,,,,SEN,,,,,-76.309380,,"1,993",,,-9.922200,F,C,CON,,,,,,
202910,H,202913,PUENTE HUACHIPA,26,06,,,,SEN,,,,,-76.894410,,395,,,-12.012810,F,C,CON,,,,,,
202202,H,202202,PUENTE HUAMBA,19,06,,,,SEN,,,,,-77.866940,,586,,,-9.966940,C,C,CON,,,,,,
109005,M,000413,PUNTA CULEBRAS,18,11,,,,SEN,,,,,-78.216940,,20,,,-9.950280,C,C,CON,,,,,,
113003,M,000514,PULTOC,34,11,,,,SEN,,,,,-75.066940,,"4,702",,,-13.100280,C,C,CON,,,,,,
115077,M,157237,PULLO,38,15,,,,SEN,,,,,-73.816940,,"3,052",,,-15.216940,C,C,CON,,,,,,
113001,M,000496,PAUNA(TOPARA),32,11,,,,SEN,,,,,-76.283610,,145,,,-13.266940,C,C,CON,,,,,,
111125,M,155460,PUNABAMBA,08,15,,,,SEN,,,,,-76.083610,,"4,419",,,-11.483610,C,C,CON,,,,,,
111056,M,000999,PUNABAMBA,08,16,,,,SEN,,,,,-76.083610,,"4,419",,,-11.483610,C,C,CON,,,,,,
103015,M,150208,PUNCHANA,03,16,,,,SEN,,,,,-73.255600,,91,,,-3.690300,F,C,CON,,,,,,
200412,H,200413,PUNTA ARENA,05,06,,,,SEN,,,,,-80.550280,,43,,,-4.966940,C,C,CON,,,,,,
116011,M,000830,PUNTA ATICO,00,11,,,,SEN,,,,,-73.696400,,30,,,-16.231700,F,C,CON,,,,,,
200304,H,200305,PUENTE SULLANA,04,06,,,,SEN,,,,,-80.683610,,25,,,-4.883610,C,C,CON,,,,,,
103038,M,000132,PUERTO PIZARRO,02,11,,,,SEN,,,,,-80.395040,,6,,,-3.503800,F,C,CON,,,,,,
203802,H,203802,PUENTE CARRETERA,36,05,,,,SEN,,,,,-75.216940,,355,,,-14.516940,C,C,CON,,,,,,
106106,M,000299,PUCALA,07,11,,,,SEN,,,,,-79.600280,,85,,,-6.750280,C,C,CON,,,,,,
230503,H,230503,PUENTE CUNYAC,09,06,,,,SEN,,,,,-72.575200,,"1,854",,,-13.563000,F,C,CON,,,,,,
104023,M,152114,PACAYPAMPA,04,11,,,,SEN,,,,,-79.665030,,"2,003",,,-4.996430,P,C,CON,,,,,,
106116,M,153329,PACAYPITE,01,15,,,,SEN,,,,,-76.866940,,"1,270",,,-6.216940,C,C,CON,,,,,,
110077,M,155275,PACCHAPATA,05,15,,,,SEN,,,,,-75.916940,,"4,500",,,-10.583610,C,C,CON,,,,,,
